microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
8405,0.521,-0.852,0.084,0.061,-1.099,-18.86,-84.348,-29.932,-84.04,3
8492,0.544,-0.825,0.075,1.038,-0.793,-16.418,-84.282,-31.8,-84.122,3
8537,-0.185,0.049,0.915,-2.686,-44.922,0.244,2.829,13.667,-20.522,3
8597,0.57,-0.823,0.081,1.16,0.366,-20.996,-84.155,-33.953,-84.265,3
8625,-0.04,0.038,1.098,-1.343,-38.452,1.343,2.488,8.201,-20.83,3
8687,0.609,-0.786,0.078,1.526,-3.784,-12.512,-83.979,-35.75,-84.375,3
8699,-0.045,0.039,1.033,-2.991,-50.354,1.587,2.291,4.147,-21.083,3
8792,0.621,-0.76,0.071,0.61,0,-17.029,-83.892,-37.469,-84.479,3
8805,-0.067,0.023,0.885,-3.967,-47.119,-0.793,2.032,0.319,-21.275,3
8897,0.638,-0.737,0.071,1.099,0.244,-17.029,-83.886,-39.337,-84.666,3
8924,0.099,0.017,0.978,-2.991,-37.415,0.488,1.703,-4.46,-21.462,3
8987,0.667,-0.708,0.07,0.122,-0.732,-22.156,-83.76,-41.364,-84.864,3
9015,0.194,0.006,0.994,-1.892,-37.903,-0.427,1.329,-9.075,-21.517,3
9091,0.692,-0.689,0.069,0.122,-2.319,-14.648,-83.699,-43.38,-84.946,3
9107,0.271,0.015,1.022,-2.869,-41.321,0.061,1.049,-13.788,-21.665,3
9197,0.727,-0.709,0.076,0.916,-0.916,-14.771,-83.606,-45.165,-85.166,3
9209,0.312,0.017,0.958,-1.892,-36.56,1.221,0.797,-17.666,-21.709,3
9286,0.735,-0.646,0.072,-0.61,-1.404,-21.24,-83.496,-46.862,-85.325,3
9345,0.389,0.019,0.893,-4.272,-54.626,-0.305,0.56,-21.863,-21.649,3
9377,0.769,-0.654,0.071,0.854,-0.549,-20.264,-83.48,-49.081,-85.485,3
9434,0.5,0.004,0.923,-2.136,-39.673,-0.366,0.324,-26.466,-21.709,3
9482,0.8,-0.608,0.06,1.465,-1.099,-13.916,-83.331,-51.004,-85.803,3
9527,0.479,0.003,0.741,-3.113,-43.64,1.038,0.104,-30.157,-21.605,3
9573,0.825,-0.601,0.062,0.671,-1.953,-17.944,-83.337,-53.091,-86.028,3
9629,0.632,-0.012,0.901,-2.258,-40.405,0.488,-0.319,-34.991,-21.44,3
9678,0.831,-0.522,0.064,1.709,-1.343,-14.526,-83.216,-54.657,-86.298,3
9719,0.585,0.002,0.611,-2.502,-39.917,2.014,-0.527,-38.04,-21.061,3
9782,0.855,-0.565,0.061,-1.404,-2.136,-23.682,-83.199,-56.937,-86.611,3
9825,0.727,-0.011,0.786,-1.953,-32.776,0.122,-0.945,-43.094,-20.781,3
9873,0.867,-0.466,0.058,0.549,-1.526,-21.24,-82.936,-58.936,-87.045,3
9944,0.842,0.007,0.823,-1.831,-37.048,0.916,-1.263,-47.411,-20.363,3
9978,0.886,-0.454,0.055,-1.465,0.061,-20.02,-82.562,-60.974,-87.72,3
10021,0.797,-0.032,0.713,-3.967,-52.795,-1.16,-1.582,-51.246,-20.154,3
10068,0.899,-0.432,0.046,1.77,-1.038,-17.822,-82.392,-62.781,-88.533,3
10126,0.831,-0.011,0.651,-1.953,-55.237,1.648,-2.159,-54.921,-19.424,3
10174,0.918,-0.407,0.064,2.38,-0.671,-17.151,-82.194,-64.693,-89,3
10245,0.872,-0.017,0.468,-2.686,-50.598,-0.305,-2.455,-58.392,-18.885,3
10278,0.947,-0.385,0.05,0.122,-1.038,-23.132,-81.552,-66.973,-89.956,3
10334,0.873,-0.02,0.459,-1.77,-41.077,2.258,-3.038,-62.446,-18.155,3
10368,0.969,-0.321,0.081,-0.916,-1.343,-16.357,-81.096,-69.126,-90.807,3
10456,0.916,0.012,0.337,-4.395,-20.142,-3.418,-3.444,-65.446,-17.792,3
10471,0.934,-0.299,0.059,-7.08,0.61,-16.174,-80.365,-70.554,-92.236,3
10530,0.957,-0.084,0.362,2.136,-41.992,-0.427,-4.323,-69.467,-17.001,3
10561,0.977,-0.315,0.033,3.113,-4.883,-26.917,-79.843,-72.762,-93.988,3
10634,1.031,0.017,0.291,-0.854,-46.692,1.282,-6.317,-73.85,-14.469,3
