microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
6823,0.964,0.084,-0.327,-1.343,15.198,-1.16,160.323,-70.703,59.128,3
6870,0.974,0.104,-0.314,-3.418,12.512,1.16,159.099,-72.048,60.073,3
6901,0.895,0.407,-0.132,-0.305,-1.709,12.695,104.161,-65.814,-1.813,3
6964,0.933,0.378,-0.11,-0.854,-1.16,11.353,105.573,-67.039,-3.235,3
6995,0.985,0.125,-0.241,-2.441,10.254,4.456,157.896,-73.334,60.996,3
7073,0.951,0.351,-0.109,2.747,1.465,13.489,106.573,-68.297,-3.911,3
7073,1.003,0.107,-0.247,0.122,13.672,-1.587,155.495,-74.504,63.474,3
7198,0.936,0.329,-0.13,0.61,-1.404,16.479,108.204,-69.933,-5.251,3
7260,0.989,0.12,-0.212,-3.357,16.479,1.953,152.391,-76.113,66.478,3
7260,0.928,0.314,-0.13,2.319,-0.244,14.343,110.473,-71.417,-7.224,3
7276,0.999,0.121,-0.187,-1.099,15.808,0.488,149.31,-77.58,69.45,3
7370,0.964,0.272,-0.105,-0.061,-2.991,16.296,112.665,-72.669,-8.981,3
7417,1.021,0.101,-0.192,-2.197,12.573,4.028,145.844,-78.805,72.949,3
7464,0.987,0.25,-0.124,2.441,-1.709,9.583,115.356,-73.685,-11.316,3
7479,1.017,0.135,-0.153,0.366,8.728,0.366,143.267,-79.832,75.493,3
7564,0.979,0.24,-0.115,1.038,0,17.029,117.669,-74.905,-13.222,3
7627,1.021,0.12,-0.115,-4.028,18.188,-0.977,136.599,-80.997,82.178,3
7674,0.977,0.238,-0.118,0.61,-0.244,17.639,120.97,-76.306,-16.018,3
7689,1.037,0.104,-0.101,-7.019,19.775,0.061,127.903,-82.051,90.835,3
7767,0.989,0.18,-0.12,1.16,-0.244,13.855,125.283,-77.69,-20.034,3
7814,1.004,0.106,-0.101,-2.075,11.169,0.732,118.63,-82.848,99.91,3
7861,0.98,0.143,-0.135,-3.601,-2.563,13.184,129.463,-78.629,-24.071,3
7877,1.022,0.105,-0.053,-4.089,10.864,1.16,109.429,-83.458,108.726,3
7955,0.982,0.151,-0.132,-2.563,-3.113,11.78,133.978,-79.239,-28.191,3
7986,1.035,0.111,0,-2.136,15.32,2.38,100.272,-83.963,117.85,3
8064,1.001,0.121,-0.138,4.639,0.305,5.554,139.334,-79.876,-32.827,3
8095,1.025,0.125,-0.04,5.188,7.019,-1.404,92.686,-84.089,125.815,3
8173,0.997,0.125,-0.125,0.916,1.038,0.977,140.422,-80.178,-33.184,3
8205,1.025,0.111,-0.054,1.526,-0.671,-0.732,91.84,-83.958,126.881,3
8298,1.029,0.108,-0.014,-2.014,-5.615,0.61,96.564,-83.974,121.992,3
8377,0.994,0.108,-0.14,0,-0.122,-3.296,137.148,-79.667,-29.537,3
8392,1.033,0.104,0.005,-0.244,-1.16,0.061,99.69,-83.969,118.905,3
8455,0.995,0.121,-0.136,1.648,0.854,1.343,136.912,-79.607,-28.806,3
8502,1.028,0.109,-0.009,1.099,2.563,-1.16,98.339,-83.952,120.526,3
8548,0.995,0.125,-0.133,3.784,1.648,1.831,137.494,-79.838,-28.757,3
8627,1.024,0.104,-0.019,-0.854,1.831,0.854,96.059,-83.886,123.091,3
8642,0.995,0.112,-0.133,1.648,0,0.183,138.159,-79.942,-28.993,3
8689,1.018,0.112,-0.019,-2.502,-0.427,1.221,95.883,-83.941,123.387,3
8751,0.991,0.108,-0.137,1.099,-0.061,-1.343,138.104,-79.871,-28.636,3
8814,1.028,0.112,-0.015,-3.54,-0.427,1.465,96.757,-83.963,122.547,3
8861,0.998,0.11,-0.14,0.977,0.977,-0.183,137.84,-79.827,-28.152,3
8955,1.034,0.114,-0.013,-1.953,0.977,-0.488,96.487,-83.875,122.888,3
9017,1.027,0.112,-0.013,1.038,1.831,-0.732,95.219,-83.727,124.288,3
9064,0.996,0.11,-0.128,-0.061,1.465,1.648,137.648,-80.189,-27.285,3
9095,1.024,0.109,-0.014,-0.427,0.854,-0.732,93.999,-83.617,125.596,3
9142,0.993,0.112,-0.132,-1.282,0.061,0.671,137.823,-80.305,-27.23,3
9220,1.028,0.108,-0.014,1.465,-0.366,-0.366,94.065,-83.606,125.574,3
9251,0.993,0.112,-0.132,-0.977,-0.732,-0.366,137.703,-80.266,-26.84,3
9314,1.026,0.106,-0.013,0.671,-0.732,0.977,94.823,-83.688,124.865,3
9361,0.997,0.112,-0.133,0.305,-0.916,-0.793,137.708,-80.14,-26.587,3
9423,1.029,0.115,-0.009,0.488,0.305,1.404,95.284,-83.804,124.552,3
9455,0.997,0.111,-0.134,3.235,0,0,138.049,-80.057,-26.592,3
9501,1.025,0.126,-0.018,3.174,0.671,-0.732,95.048,-83.804,125.14,3
9548,0.997,0.118,-0.123,2.319,0.427,0,137.994,-80.101,-26.038,3
9658,0.99,0.119,-0.125,1.648,-0.061,-1.282,137.785,-80.074,-25.499,3
9658,1.027,0.107,-0.018,0.977,-0.305,-0.244,95.197,-83.771,125.167,3
0,1.03,0.003,-0.017,-4.883,0.244,-2.625,152.095,-88.616,64.44,3
78,0.967,0.143,-0.244,-3.601,0.366,0.244,150.716,-74.592,-32.651,3
125,1.031,-0.008,-0.021,-0.977,-0.916,-2.258,149.837,-88.522,66.462,3
187,0.964,0.137,-0.248,-2.258,-1.221,1.038,150.677,-74.581,-32.679,3
234,1.047,0.01,-0.031,-3.479,0.427,-0.427,151.688,-88.566,64.512,3
270,0.987,0.157,-0.231,0.061,1.953,0,151.084,-74.52,-32.767,3
297,0.983,0.148,-0.244,-1.343,0.549,-0.427,150.743,-74.52,-32.915,3
328,1.039,-0.003,-0.034,0.61,0.061,0,153.182,-88.517,62.946,3
375,0.97,0.096,-0.236,0.671,-0.488,-0.427,150.447,-74.52,-32.651,3
422,1.033,0.034,-0.044,5.432,0.122,3.174,156.335,-88.506,59.914,3
484,0.975,0.125,-0.236,0.427,-1.77,-0.122,150.54,-74.438,-32.712,3
546,1.037,0.02,-0.024,-2.686,-0.671,0.854,160.28,-88.511,55.898,3
562,0.966,0.147,-0.241,2.258,-1.587,-1.709,150.848,-74.224,-33.014,3
625,1.012,0.024,-0.02,-2.808,0.671,-0.732,167.476,-88.533,48.785,3
671,0.975,0.14,-0.246,1.953,-0.916,-0.732,150.903,-74.174,-33.223,3
781,0.962,0.122,-0.225,-2.014,-0.793,-0.244,150.705,-74.075,-33.184,3
875,0.98,0.12,-0.236,0.916,0.916,0.854,150.842,-74.02,-33.3,3
968,1.025,0.004,-0.016,-1.038,-0.854,0,169.629,-88.528,46.599,3
968,0.982,0.122,-0.235,5.31,0.305,1.282,151.26,-74.152,-33.596,3
1062,0.965,0.146,-0.246,-1.526,0.793,0.488,151.282,-74.24,-33.695,3
1171,0.976,0.098,-0.246,0.427,0.732,0.305,151.518,-74.284,-34.42,3
1281,0.963,0.135,-0.251,4.395,0.244,-0.977,151.133,-74.454,-33.821,3
1328,1.023,0.006,-0.036,2.93,0.061,4.7,174.348,-88.489,41.863,3
1328,1.042,0.024,-0.021,0.732,0.122,-1.587,171.337,-88.522,45.033,3
1328,1.038,0.009,-0.012,-0.427,1.709,-2.563,167.058,-88.649,49.488,3
