microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
5981,0.299,0.052,1.005,-0.305,19.714,1.526,0.632,-16.49,-18.82,3
6072,0.177,0.051,0.634,-5.31,-21.362,-4.822,0.654,-16.155,-19.171,3
6134,0.098,-0.938,0.042,-5.981,4.395,-49.805,-86.451,-6.74,-100.97,3
6160,0.344,-0.072,0.937,-3.235,-62.561,-5.798,0.022,-21.687,-19.841,3
6224,0.233,-0.973,-0.005,2.93,-6.592,-56.274,-86.561,-12.371,-100.41,3
6281,0.495,-0.1,0.916,4.15,-58.716,11.963,-0.412,-27.51,-19.391,3
6329,0.352,-0.983,0.052,2.502,-17.151,-51.27,-86.616,-18.078,-98.399,3
6372,0.602,0.079,1,0.732,-43.091,12.146,-0.961,-32.904,-17.672,3
6418,0.455,-0.945,0.099,-3.235,-4.456,-32.898,-86.814,-22.176,-96.652,3
6476,0.651,0.076,0.889,-8.057,-30.945,-2.747,-1.225,-36.046,-17.309,3
6523,0.461,-0.896,0.05,-8.301,7.935,-26.184,-87.1,-25.137,-96.449,3
6565,0.625,-0.044,0.764,-8.362,-26.001,-8.972,-1.571,-38.606,-18.105,3
6642,0.483,-0.841,0.022,-2.869,3.967,-37.903,-87.177,-28.268,-96.855,3
6670,0.629,-0.094,0.679,-5.066,-44.25,-1.465,-2.032,-42.286,-18.281,3
6724,0.524,-0.831,0.002,2.808,-5.92,-47.607,-87.369,-32.717,-96.509,3
6806,0.792,-0.064,0.662,5.188,-45.959,6.897,-2.703,-47.115,-17.292,3
6823,0.666,-0.788,0.056,2.075,-10.559,-47.241,-87.407,-37.656,-95.202,3
6881,0.866,0.034,0.751,-2.625,-34.18,4.456,-3.746,-51.982,-15.535,3
6914,0.747,-0.768,0.039,-1.77,0.061,-33.813,-87.869,-41.896,-94.07,3
7001,0.864,-0.041,0.677,-6.714,-28.442,-2.869,-4.142,-55.25,-15.282,3
7018,0.738,-0.674,0.019,-4.089,2.808,-33.386,-87.902,-45.071,-94.131,3
7076,0.856,-0.049,0.53,-8.179,-44.8,-1.648,-4.746,-58.2,-14.952,3
7122,0.732,-0.657,-0.004,-2.441,0.366,-40.649,-88.132,-48.724,-94.285,3
7180,0.897,-0.092,0.457,-0.916,-43.152,1.282,-5.795,-62.183,-14.013,3
7213,0.799,-0.591,0.001,2.319,-4.7,-44.128,-88.363,-52.927,-94.021,3
7286,1,-0.044,0.444,2.441,-46.692,2.38,-7.427,-66.55,-11.838,3
7317,0.882,-0.533,0.042,1.465,-4.639,-42.297,-88.632,-57.404,-93.241,3
7391,0.98,-0.022,0.388,-5.676,-25.635,0.671,-9.146,-69.988,-9.992,3
7408,0.898,-0.474,0.004,-3.54,0.183,-31.555,-89.094,-60.826,-92.867,3
7482,0.975,-0.083,0.277,-4.883,-33.997,1.038,-11.14,-72.883,-7.971,3
7513,0.899,-0.433,-0.017,-4.089,-2.319,-39.49,-89.676,-64.347,-92.889,3
7585,1.029,-0.077,0.267,-2.136,-48.035,2.563,-16.172,-76.954,-2.703,3
7618,0.931,-0.374,-0.017,0.916,-5.737,-46.082,-90.895,-68.785,-92.302,3
7708,0.982,-0.3,-0.003,-1.526,-3.601,-40.649,-92.626,-73.29,-91.159,3
7720,1.066,-0.038,0.21,-2.014,-46.692,3.601,-25.697,-80.98,7.267,3
7812,1.033,-0.081,0.073,-4.517,-33.02,0.366,-40.029,-83.809,21.654,3
7823,0.987,-0.177,-0.021,-3.479,-2.014,-38.818,-94.603,-77.124,-90.879,3
7915,1.019,-0.081,0.058,-3.784,-41.992,1.709,-78.173,-85.688,59.98,3
7921,0.985,-0.188,-0.033,-2.991,-2.502,-38.513,-99.201,-80.936,-88.835,3
8005,1.075,-0.07,0.113,3.479,-10.132,-2.258,-110.308,-85.578,92.043,3
8010,1.029,-0.127,-0.028,3.54,2.258,-9.399,-102.052,-83.139,-88.121,3
8111,1.076,-0.064,0.018,-0.793,5.371,1.709,-108.402,-85.726,90.396,3
8117,1.012,-0.089,-0.027,-2.075,-0.488,5.432,-101.805,-83.156,-91.708,3
8215,1.015,-0.066,-0.039,-1.526,12.207,1.343,-92.126,-85.858,74.29,3
