microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
11500,0.693,0.263,-0.722,-10.193,14.343,6.226,167.228,-40.276,69.648,2
11521,0.652,0.176,-0.744,8.789,9.766,2.869,168.201,-41.49,69.406,2
11538,0.847,0.367,0.349,11.719,-11.475,9.338,48.466,-56.058,45.604,2
11628,0.867,0.347,0.403,-0.122,-6.958,12.207,48.307,-57.239,45.22,2
11652,0.672,0.124,-0.713,3.662,16.846,0.366,168.47,-42.676,69.335,2
11745,0.688,0.181,-0.705,10.498,15.747,-0.671,168.92,-44.088,69.478,2
11756,0.871,0.414,0.336,5.493,-8.606,12.512,48.318,-58.689,45.857,2
11823,0.939,0.45,0.326,10.498,-10.437,12.695,49.18,-60.211,46.126,2
11850,0.775,0.111,-0.787,-2.747,17.517,0.488,169.893,-45.483,69.549,2
11928,0.888,0.411,0.333,8.301,-9.46,10.315,49.395,-61.573,46.384,2
11945,0.735,0.144,-0.728,6.897,16.296,2.319,170.673,-46.989,69,2
12033,0.957,0.36,0.31,10.254,-8.728,11.536,49.367,-62.946,47.505,2
12121,0.802,0.063,-0.734,7.874,13.611,0.305,171.079,-48.345,69.142,2
12129,0.891,0.324,0.299,4.272,-4.456,5.615,49.933,-63.88,48.005,2
12166,0.75,0.097,-0.688,11.597,7.141,-0.732,171.953,-49.301,69.071,2
12226,0.76,0.127,-0.666,3.235,5.188,0.366,172.365,-49.691,69.137,2
12241,0.896,0.359,0.302,2.136,-1.16,2.93,50.268,-64.396,48.576,2
12319,0.909,0.403,0.301,-3.967,0.61,-0.427,50.175,-64.605,49.175,2
12331,0.751,0.102,-0.737,-6.165,-1.831,1.953,172.37,-49.768,69.022,2
12423,0.885,0.319,0.302,1.892,0.977,-7.263,50.136,-64.138,49.18,2
12458,0.768,0.15,-0.712,0.244,-15.991,0.793,172.43,-48.829,68.489,2
12528,0.883,0.317,0.296,11.23,0.427,-4.272,50.493,-63.484,49.153,2
12563,0.788,0.13,-0.563,5.615,0.671,-4.15,172.37,-48.241,68.752,2
12617,0.929,0.343,0.28,9.949,-2.93,6.47,49.691,-63.891,51.092,2
12646,0.791,0.067,-0.64,3.357,8.728,0.732,171.854,-49.158,69.126,2
12723,0.903,0.322,0.288,8.484,-5.676,7.568,49.905,-64.759,52.125,2
12739,0.773,0.122,-0.649,7.996,9.888,0.549,172.502,-50.103,69.131,2
12813,0.949,0.296,0.31,1.343,0.61,10.254,48.796,-65.566,54.267,2
12843,0.789,0.142,-0.616,7.08,11.353,-3.54,172.018,-51.202,69.983,2
13006,0.827,0.069,-0.625,10.803,13.733,-5.188,171.639,-52.234,71.18,2
13021,0.903,0.262,0.267,-0.549,-2.686,9.888,46.198,-67.407,59.513,2
13038,0.816,0.061,-0.646,16.602,8.179,0.122,171.744,-53.372,71.219,2
13141,0.75,0.119,-0.684,19.409,-8.972,-0.61,172.612,-53.218,70.768,2
13218,0.953,0.354,0.318,-34.546,13.55,-7.446,46.769,-66.967,59.579,2
13260,0.765,0.022,-0.581,2.808,-7.141,-3.723,171.238,-51.927,70.944,2
13307,0.953,0.327,0.273,-31.86,7.446,0.671,46.56,-66.154,60.178,2
13350,0.822,-0.006,-0.516,-16.907,3.723,1.282,170.222,-51.691,71.279,2
13414,0.925,0.269,0.26,-1.77,-5.981,9.338,45.615,-66.671,61.82,2
13452,0.82,0.091,-0.57,7.874,16.174,2.93,170.975,-53.047,71.136,2
13503,0.933,0.275,0.275,-3.418,-6.104,13.733,45.253,-67.945,63.633,2
13560,0.806,0.113,-0.595,9.949,13.916,0.183,171.398,-54.591,71.362,2
13608,1.029,0.349,0.313,13.672,-5.859,12.024,45.829,-69.412,65.446,2
13667,0.837,0.092,-0.664,-1.526,15.93,1.831,172.452,-55.789,71.785,2
13698,0.944,0.281,0.28,5.798,-0.305,7.874,44.819,-70.23,67.654,2
13756,0.883,0.081,-0.61,5.493,2.502,-5.005,172.205,-56.349,72.691,2
13813,0.944,0.226,0.229,5.798,0.977,5.676,44.088,-70.549,69.928,2
13861,0.851,0.064,-0.531,12.268,5.859,-2.38,172.013,-56.695,73.383,2
13923,0.938,0.227,0.216,-0.122,-2.502,7.507,43.533,-70.999,71.532,2
13966,0.862,0.06,-0.505,-0.122,11.23,1.831,172.315,-57.552,73.542,2
13998,0.979,0.207,0.221,-2.563,-5.127,12.207,42.292,-71.96,73.658,2
14071,0.877,0.056,-0.52,1.953,18.677,1.77,172.095,-59.178,73.542,2
14103,0.974,0.23,0.244,-3.235,-5.31,14.038,39.875,-73.147,76.871,2
14175,0.877,0.065,-0.534,-18.738,16.052,4.944,171.255,-60.919,73.581,2
14208,0.955,0.139,0.194,1.038,-6.042,9.155,35.931,-74.07,80.64,2
14251,0.892,0.085,-0.514,-0.732,6.836,1.343,171.211,-61.831,73.416,2
14356,0.977,0.135,-0.47,1.465,10.315,0.122,171.541,-62.342,73.801,2
14403,0.984,0.158,0.229,-25.146,0.122,10.254,34.497,-75.157,84.391,2
14461,0.933,0.072,-0.444,-59.875,22.522,10.437,169.475,-64.144,73.345,2
14493,0.956,-0.012,0.161,-20.874,-5.31,14.587,26.252,-75.998,90.374,2
14565,0.936,0.153,-0.452,-1.709,13.977,2.93,169.211,-66.132,72.587,2
14597,0.962,0.073,0.209,-6.836,-5.066,10.193,23.516,-77.058,94.642,2
14685,0.954,0.107,-0.382,8.972,9.094,-1.465,169.162,-67.22,73.098,2
14699,0.999,0.102,0.219,-6.348,-1.099,8.606,21.489,-77.778,98.41,2
14760,0.969,0.091,-0.367,2.93,10.132,-1.526,168.695,-68.302,73.916,2
14793,0.99,0.044,0.196,-6.958,-2.075,9.399,18.248,-78.294,102.827,2
14868,0.979,0.063,-0.389,5.066,11.902,1.709,168.492,-69.39,74.092,2
14899,1.004,0.079,0.204,5.066,-3.967,7.874,14.837,-78.97,107.435,2
14988,1.022,0.101,0.22,-3.418,-1.892,6.531,11.706,-79.552,111.599,2
15006,0.984,0.093,-0.381,2.197,8.423,1.587,169.036,-70.351,73.889,2
15076,0.999,0.043,-0.397,11.23,4.517,1.221,168.871,-71.169,73.103,2
15093,1.033,0.001,0.182,29.846,-6.287,0,8.91,-80.013,115.367,2
15180,0.945,0.058,-0.38,-7.141,-9.705,2.014,169.854,-70.719,72.268,2
15192,0.988,0.028,0.148,16.052,-2.075,-5.981,10.278,-79.948,114.719,2
15286,0.956,0.039,-0.349,-5.615,-12.085,-0.671,170.997,-69.467,72.334,2
15304,0.978,-0.011,0.138,-1.77,3.174,-7.019,16.166,-79.552,110.473,2
15375,0.983,0.05,-0.276,-3.052,-2.319,-1.282,170.958,-68.884,72.933,2
15390,0.983,0.017,0.153,-4.578,1.404,1.16,18.221,-79.255,109.49,2
15480,0.97,0.039,-0.287,4.639,8.911,0.427,170.859,-69.703,73.306,2
15496,0.978,0.029,0.154,-0.916,-3.479,8.911,15.683,-79.64,112.961,2
15570,0.951,0.059,-0.298,14.099,9.216,1.526,171.557,-70.845,73.279,2
15602,0.974,0.035,0.136,5.92,-7.874,10.254,11.827,-80.447,118.12,2
15675,0.966,0.056,-0.289,15.808,10.986,2.869,172.848,-71.971,73.18,2
15690,0.998,0.043,0.141,5.371,-8.301,12.024,7.701,-81.315,123.948,2
15781,0.974,0.043,-0.315,9.094,10.498,1.587,174.051,-73.268,72.779,2
15796,1.003,0.014,0.129,8.972,-7.385,10.742,1.247,-82.106,131.671,2
15873,0.991,0.008,0.127,21.606,-4.578,6.714,-3.549,-82.628,138.181,2
15885,0.958,0.027,-0.327,16.479,6.409,-0.732,175.106,-73.971,72.834,2
15975,1.064,0.042,-0.316,8.24,1.77,0.732,176.089,-74.169,72.988,2
15988,1.042,-0.01,0.11,14.893,-6.104,5.249,-7.119,-83.024,143.251,2
16084,0.985,-0.08,0.088,10.132,-3.845,3.479,-10.344,-83.348,147.2,2
16096,0.986,0.016,-0.242,10.01,2.563,0.488,177.27,-74.619,72.356,2
16185,1.012,0.032,-0.248,24.902,11.353,-2.075,178.539,-75.196,72.554,2
16278,1.024,-0.087,0.078,12.512,-5.981,14.16,-26.9,-83.859,166.833,2
16295,1.025,0.008,-0.236,10.315,17.395,-0.977,179.346,-76.679,72.993,2
16367,0.988,-0.08,0.076,9.583,-5.31,14.465,-39.359,-83.496,-179.319,2
