microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
6343,0.993,-0.081,0.032,1.587,2.625,-1.221,-68.989,-83.892,75.262,3
6372,0.308,0.001,0.946,-0.305,-33.691,2.014,0.077,-17.001,-19.451,3
6448,1.018,-0.074,0.041,1.831,0.854,-1.892,-66.693,-84.26,72.246,3
6476,0.367,0.012,0.985,-0.916,-32.593,2.258,-0.016,-20.555,-19.226,3
6540,1.009,-0.072,0.048,-0.916,0.61,3.601,-66.753,-84.122,71.34,3
6582,0.417,0.012,0.954,-2.441,-27.039,-0.427,-0.176,-23.522,-19.144,3
6643,1.004,-0.078,0.035,-1.343,0.793,3.479,-67.61,-83.87,71.532,3
6672,0.453,-0.014,0.896,-2.319,-28.687,0.793,-0.412,-26.164,-19.155,3
6764,1.001,-0.077,0.041,0.793,0.854,0.488,-67.928,-83.716,71.84,3
6776,0.503,0,0.874,-0.61,-31.189,1.221,-0.604,-29.108,-18.94,3
6838,1.007,-0.068,0.044,0,0.427,-2.014,-66.594,-83.886,70.422,3
6895,0.543,-0.002,0.896,-1.038,-28.87,-0.671,-0.725,-32.272,-18.776,3
6944,1.018,-0.079,0.041,-1.038,4.272,0.122,-66.352,-83.925,70.384,3
7002,0.589,-0.015,0.863,-1.099,-25.269,1.221,-0.928,-34.964,-18.66,3
7035,1.007,-0.074,0.045,0.427,-7.08,9.399,-67.879,-83.743,72.361,3
7076,0.614,-0.001,0.801,-2.686,-23.376,0.305,-1.159,-37.293,-18.435,3
7182,0.658,-0.028,0.797,-0.977,-27.527,0.671,-1.395,-39.996,-18.215,3
7244,1.016,-0.101,0.031,1.16,-0.671,1.099,-74.877,-83.002,82.562,3
7317,0.705,-0.003,0.747,-1.709,-30.212,0.732,-1.653,-42.726,-17.787,3
7421,0.739,-0.02,0.726,-1.221,-24.719,0.122,-1.884,-45.374,-17.562,3
7453,1.004,-0.084,0.025,-0.671,-0.488,3.418,-74.8,-82.886,86.166,3
7527,0.769,-0.026,0.743,-0.61,-24.353,1.282,-2.269,-48.17,-17.133,3
7529,1.021,-0.11,0.035,0.488,-0.854,3.723,-75.163,-82.848,89.445,3
7586,0.774,-0.02,0.648,-2.808,-28.87,-0.305,-2.56,-50.548,-16.628,3
7637,1.01,-0.11,0.021,-0.793,-0.61,2.136,-75.553,-82.776,92.384,3
7691,0.835,-0.026,0.6,-1.709,-30.273,1.343,-3.054,-53.355,-16.095,3
7739,1.013,-0.115,0.028,-0.122,0,-1.038,-75.405,-82.766,95.081,3
7810,0.861,-0.041,0.578,-2.136,-27.527,0.427,-3.466,-56.14,-15.579,3
7886,0.869,-0.026,0.503,-2.686,-26.733,0.793,-3.961,-58.64,-14.919,3
7933,0.997,-0.096,0.024,-1.343,-0.305,0.793,-75.641,-82.485,101.217,3
8025,1.007,-0.095,0.023,-1.16,-0.671,1.282,-75.905,-82.386,104.678,3
8041,0.897,-0.038,0.498,-1.953,-21.667,0.427,-4.62,-61.293,-14.227,3
8096,0.92,-0.047,0.47,-1.038,-28.32,1.282,-5.565,-63.99,-13.129,3
8131,1.012,-0.122,0.029,1.526,0,1.648,-76.399,-82.397,108.754,3
8202,0.954,-0.027,0.426,-2.319,-29.663,-0.366,-6.394,-66.923,-12.003,3
8218,1.017,-0.123,0.032,-1.099,0.366,2.319,-75.85,-82.43,111.121,3
8321,0.975,-0.054,0.355,-1.16,-25.269,0.732,-7.394,-69.626,-10.904,3
8326,1.019,-0.101,0.023,-0.061,-1.099,2.93,-75.899,-82.403,114.038,3
8396,0.983,-0.03,0.313,-2.441,-24.292,1.465,-9.003,-72.208,-9.091,3
8429,1.006,-0.098,0.022,-0.549,-0.671,2.075,-77.08,-82.233,118.109,3
8503,0.993,-0.059,0.265,-2.991,-29.297,0.244,-10.778,-74.811,-7.125,3
8518,1.003,-0.126,0.009,-0.061,-0.977,-1.16,-77.498,-82.2,121.602,3
8622,1.018,-0.035,0.243,-1.343,-21.545,0.183,-13.156,-77.228,-4.532,3
8629,1.021,-0.114,0.021,-0.549,0.427,1.099,-77.289,-82.238,124.464,3
8711,1.021,-0.051,0.213,-2.258,-23.01,1.16,-16.397,-79.442,-1.104,3
8716,1.004,-0.126,0.031,-1.221,-0.488,6.836,-77.833,-81.947,127.601,3
8816,1.01,-0.054,0.154,-1.465,-23.376,-0.61,-21.352,-81.557,4.032,3
8822,0.997,-0.119,0.021,-0.549,1.526,2.502,-78.239,-81.7,130.847,3
8921,1.027,-0.049,0.123,-1.099,-29.663,0.977,-31.948,-84.034,14.985,3
8938,1.003,-0.13,0.019,1.404,0.732,-2.563,-77.893,-81.826,133.385,3
9015,1.011,-0.093,0.026,-1.099,0.183,0.916,-76.932,-81.931,134.984,3
9027,1.039,-0.053,0.04,-1.648,-24.78,0,-49.285,-85.875,32.657,3
9122,1.052,-0.04,0.116,-0.122,-4.761,0.916,-77.481,-86.677,60.87,3
9124,1.004,-0.145,0.019,0.305,0.122,0.854,-77.531,-81.892,137.977,3
9206,1.026,-0.067,0,-0.305,4.578,0.244,-69.736,-86.616,53.311,3
9210,1.006,-0.115,0.009,-0.671,0.244,2.747,-77.119,-81.799,140.257,3
9311,1.027,-0.045,0.027,-0.183,0,0.305,-69.258,-86.556,53.212,3
9319,0.999,-0.117,0.021,0.183,-0.061,0.61,-77.415,-81.749,142.932,3
9404,1.001,-0.11,0.023,-0.427,0.488,-1.709,-76.86,-81.92,144.728,3
9461,1.027,-0.054,0.031,-0.916,-2.869,0,-70.895,-86.649,55.162,3
9510,1.011,-0.111,0.023,0.488,0.183,0.854,-76.443,-82.09,146.481,3
9527,1.046,-0.049,0.038,0.305,1.038,0.671,-72.323,-86.682,56.854,3
9599,1.004,-0.114,0.022,-0.671,0.244,3.662,-76.674,-81.914,148.634,3
9626,1.028,-0.041,0.019,-0.427,3.235,-0.183,-67.78,-86.589,52.586,3
9703,0.994,-0.122,0.013,-0.427,0.366,0.793,-76.97,-81.76,150.969,3
9793,1.018,-0.048,0.013,-0.061,-0.488,-0.488,-65.88,-86.545,50.916,3
9808,1.002,-0.119,0.018,-0.061,0.549,-1.099,-76.454,-81.898,152.375,3
0,1.003,-0.087,0.021,0.061,0.122,0.488,-73.559,-83.551,-178.929,3
11,1.022,-0.057,-0.004,-0.366,-0.427,-0.366,-88.517,-87.363,75.575,3
89,1.006,-0.084,0.028,0.427,0.916,0.427,-73.504,-83.578,-178.951,3
146,1.033,-0.035,0.003,0.244,-0.183,-0.793,-89.412,-87.341,76.487,3
195,1.008,-0.083,0.023,1.16,0.488,0.122,-73.026,-83.611,-179.572,3
209,1.03,-0.052,-0.004,1.282,0.366,-0.183,-90.176,-87.391,77.278,3
286,1.008,-0.086,0.024,-0.427,0.549,0.854,-72.817,-83.622,-179.945,3
311,1.033,-0.047,0.007,-0.244,0.854,-0.305,-90.818,-87.413,77.959,3
402,1.023,-0.039,0,0.366,1.892,0.488,-89.604,-87.402,76.75,3
419,1.004,-0.084,0.027,0.305,0,0.854,-72.933,-83.573,-179.885,3
498,1.005,-0.092,0.023,-0.427,0.305,0.305,-72.812,-83.568,179.846,3
582,1.026,-0.043,-0.001,-0.427,-0.732,0.061,-89.594,-87.424,76.772,3
599,1.009,-0.085,0.02,-0.427,0.671,0.122,-72.543,-83.633,179.495,3
612,1.033,-0.043,0.006,-0.427,-0.488,-0.549,-91.401,-87.446,78.58,3
703,1.009,-0.082,0.032,1.16,0.183,1.099,-72.477,-83.622,179.236,3
777,1.036,-0.037,0.004,1.099,0.977,-0.122,-90.901,-87.451,78.107,3
791,1.026,-0.047,-0.005,0.549,2.563,-0.61,-88.374,-87.473,75.575,3
794,1.003,-0.083,0.028,0.244,0.488,0.793,-72.598,-83.535,179.236,3
883,1.005,-0.086,0.029,0.427,0.427,0.427,-72.631,-83.535,179.264,3
896,1.032,-0.042,0.007,0.366,-0.427,0,-89.341,-87.457,76.591,3
990,1.008,-0.083,0.024,-0.244,0.366,0.549,-72.394,-83.562,178.951,3
