microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
7499,0.151,0.319,0.929,1.709,24.353,-2.869,18.737,-8.119,-96.641,2
7513,0.764,-0.669,-0.164,1.526,-4.028,4.7,-100.41,-49.021,-99.525,2
7604,0.117,0.321,0.969,6.165,21.729,-2.319,18.907,-6.059,-96.174,2
7637,0.756,-0.661,-0.126,4.395,-3.967,4.272,-100.486,-48.439,-99.157,2
7695,0.114,0.349,0.911,28.809,23.621,-5.432,20.446,-4.01,-95.707,2
7704,0.734,-0.679,-0.116,4.883,-6.104,4.333,-100.854,-47.928,-98.63,2
7784,0.042,0.385,0.857,-1.099,13.794,-3.235,20.885,-2.263,-94.938,2
7811,0.753,-0.676,-0.129,0.488,-2.991,6.226,-100.833,-47.192,-98.267,2
7892,0.737,-0.666,-0.129,2.014,1.038,0.732,-100.558,-46.967,-98.487,2
7907,-0.041,0.361,0.92,-1.404,1.099,0.488,20.973,-1.445,-94.532,2
7994,-0.102,0.341,0.861,-24.902,-10.01,1.099,20.116,-1.115,-94.345,2
8008,0.744,-0.75,-0.121,5.554,-0.305,3.296,-100.64,-46.868,-98.685,2
8086,0.748,-0.672,-0.124,-8.667,7.69,-8.667,-100.497,-47.565,-99.124,2
8099,0.106,0.315,0.95,-11.963,-15.686,0.244,18.616,-3.246,-94.757,2
8193,0.752,-0.659,-0.135,-3.967,1.953,-4.517,-100.618,-48.274,-99.608,2
8226,0.084,0.31,1.061,-3.296,-5.31,-1.16,17.485,-4.493,-95.164,2
8283,0.735,-0.705,-0.164,8.484,-3.052,8.85,-100.327,-47.983,-99.91,2
8299,0.034,0.329,1.036,3.479,25.269,-0.977,17.485,-2.917,-94.818,2
8387,0.731,-0.691,-0.123,7.202,-2.136,14.954,-99.728,-46.544,-99.816,2
8404,0.008,0.302,0.933,10.62,26.794,-3.174,17.93,-0.038,-94.202,2
8492,0.736,-0.689,-0.12,1.831,-1.038,8.484,-99.3,-45.39,-99.794,2
8506,-0.026,0.281,0.945,9.216,21.79,-3.54,18.605,2.192,-93.631,2
8582,0.7,-0.727,-0.118,12.085,-6.042,1.526,-98.795,-44.791,-99.531,2
8609,-0.033,0.388,0.944,-5.737,14.099,2.686,19.693,3.702,-92.796,2
8687,0.689,-0.571,-0.05,-2.563,-1.953,-0.61,-98.855,-44.775,-99.168,2
8721,-0.016,0.334,0.944,-0.122,28.809,-5.798,19.66,4.85,-92.379,2
8777,0.685,-0.722,-0.112,0.488,-2.319,7.202,-99.19,-44.456,-98.998,2
8804,-0.109,0.364,0.905,-1.77,16.418,-1.831,20.621,7.004,-91.873,2
8882,0.713,-0.703,-0.119,-4.028,-1.282,9.644,-99.196,-43.709,-98.943,2
8916,-0.142,0.36,0.952,-3.967,31.372,-7.019,20.555,9.058,-91.5,2
8987,0.68,-0.737,-0.111,0.977,-2.014,12.817,-99.036,-42.594,-98.888,2
9010,-0.232,0.358,0.926,1.221,34.485,-7.202,21.061,12.294,-90.939,2
9164,-0.341,0.354,0.831,8.179,37.17,-5.31,21.671,16.013,-90.088,2
9191,0.653,-0.776,-0.116,6.348,-1.892,14.526,-97.976,-39.463,-98.954,2
9222,-0.329,0.324,0.865,11.658,24.231,-0.366,22.731,18.787,-89.22,2
9272,0.625,-0.76,-0.095,8.545,-5.554,9.094,-97.344,-38.287,-98.668,2
9313,-0.315,0.373,0.836,-2.747,19.958,-0.061,23.555,20.951,-88.11,2
9377,0.627,-0.772,-0.083,5.31,-4.15,4.456,-97.158,-37.546,-98.284,2
9434,-0.32,0.383,0.814,3.662,8.179,0.671,23.708,22.357,-87.22,2
9497,0.638,-0.779,-0.122,1.343,-1.587,1.038,-97.015,-37.37,-98.201,2
9518,-0.345,0.365,0.842,-4.395,5.676,-2.563,23.906,23.044,-86.77,2
9572,0.626,-0.808,-0.108,-4.211,-1.526,0.183,-97.57,-37.419,-98.168,2
9614,-0.441,0.372,0.791,-3.784,3.967,3.54,23.494,23.747,-86.473,2
9676,0.594,-0.774,-0.111,1.587,-0.305,1.709,-97.487,-37.249,-98.223,2
