microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
3171,0.909,0.416,-0.105,-1.465,-3.235,-36.377,104.09,-63.435,8.416,3
3213,1.036,-0.044,0.132,2.197,34.119,4.272,-18.968,-81.887,76.783,3
3319,1.034,-0.059,0.202,2.441,36.56,4.272,-14.821,-78.442,72.68,3
3366,0.841,0.548,-0.118,-1.465,-3.357,-39.734,101.937,-55.97,8.394,3
3439,1.012,-0.059,0.249,3.052,39.734,4.272,-12.486,-74.784,70.56,3
3467,0.81,0.594,-0.12,-1.221,-3.357,-39.978,101.157,-52.108,7.954,3
3528,0.985,-0.06,0.288,3.357,40.527,3.967,-10.931,-71.125,69.362,3
3561,0.765,0.647,-0.12,-1.465,-2.991,-35.828,100.536,-48.395,7.202,3
3620,0.991,-0.067,0.379,2.869,38.208,3.479,-9.959,-67.819,68.846,3
3650,0.713,0.713,-0.126,-1.099,-2.991,-36.926,100.025,-44.736,6.218,3
3724,0.981,-0.074,0.45,3.052,32.532,2.869,-9.196,-64.55,68.626,3
3756,0.673,0.744,-0.125,-0.916,-2.808,-36.987,99.613,-41.226,5.059,3
3829,0.934,-0.072,0.51,2.747,33.63,3.052,-8.553,-61.078,68.604,3
3857,0.619,0.796,-0.126,-0.977,-3.113,-37.109,99.245,-37.557,3.708,3
3919,0.901,-0.071,0.53,3.296,37.903,3.723,-8.004,-57.497,68.747,3
3951,0.578,0.813,-0.128,-1.404,-3.479,-37.598,98.915,-33.893,2.302,3
4039,0.859,-0.074,0.599,2.991,35.278,3.54,-7.526,-53.987,69,3
4066,0.514,0.86,-0.133,-1.465,-3.601,-39.429,98.613,-30.108,0.824,3
4144,0.803,-0.08,0.625,2.991,40.649,4.639,-7.097,-50.125,69.384,3
4170,0.467,0.881,-0.133,-1.526,-3.601,-39.49,98.333,-26.164,-0.714,3
4234,0.771,-0.088,0.676,2.625,32.776,3.845,-6.713,-46.527,69.846,3
4261,0.386,0.912,-0.135,-1.038,-2.93,-36.865,98.097,-22.423,-2.307,3
4323,0.712,-0.081,0.734,2.93,37.72,4.15,-6.35,-43.028,70.241,3
4356,0.344,0.941,-0.132,-1.343,-3.235,-37.292,97.894,-18.803,-3.977,3
4429,0.7,-0.086,0.82,2.93,32.654,2.808,-5.999,-39.463,70.675,3
4461,0.29,0.941,-0.135,-1.404,-3.54,-40.039,97.712,-15.057,-5.614,3
4552,0.215,0.966,-0.133,-1.465,-3.479,-42.664,97.52,-10.876,-7.196,3
4609,0.619,-0.076,0.811,3.418,43.091,4.517,-5.68,-35.409,71.142,3
4638,0.466,-0.054,0.722,2.502,26.978,3.113,-5.339,-31.547,71.488,3
4640,0.121,0.948,-0.129,-0.488,-1.892,-26.367,97.405,-7.344,-8.811,3
4744,0.571,-0.081,0.835,-0.305,-6.47,-1.16,-5.229,-30.641,71.702,3
4760,0.171,0.952,-0.129,-0.305,-0.366,-1.709,97.366,-6.52,-10.497,3
4837,0.146,0.967,-0.133,0,0.122,1.648,97.355,-6.674,-12.052,3
4879,0.569,-0.078,0.887,-0.305,-4.089,-0.732,-5.257,-30.921,72.032,3
4940,0.538,-0.076,0.884,0.183,2.38,0.305,-5.273,-30.998,72.301,3
4941,0.123,0.991,-0.134,0,0,-1.343,97.361,-6.713,-13.59,3
5043,0.53,-0.076,0.855,-0.061,-1.099,0.061,-5.268,-30.921,72.559,3
5055,0.126,0.979,-0.132,0,0.244,0.671,97.366,-6.691,-15.018,3
5149,0.537,-0.084,0.885,0.183,0.977,0.427,-5.284,-31.036,72.779,3
5238,0.526,-0.085,0.855,0,-0.122,0.122,-5.284,-30.981,72.999,3
5244,0.125,0.977,-0.13,0,0.183,0.061,97.377,-6.735,-17.65,3
5332,0.123,0.986,-0.129,0,0.061,-0.183,97.388,-6.79,-18.853,3
5365,0.536,-0.089,0.883,0,0,0.183,-5.301,-31.058,73.202,3
5436,0.125,0.979,-0.129,0,0,-0.366,97.394,-6.757,-19.99,3
5453,0.53,-0.087,0.862,0,0.305,-0.122,-5.295,-30.998,73.394,3
5541,0.123,0.987,-0.129,0,0,0.122,97.399,-6.773,-21.061,3
5557,0.533,-0.083,0.872,-0.061,0,0,-5.306,-31.031,73.586,3
5632,0.118,0.98,-0.131,0.183,0.122,0.183,97.405,-6.79,-22.066,3
5649,0.526,-0.085,0.857,-0.061,-0.977,-0.305,-5.312,-31.053,73.762,3
5737,0.019,1.026,-0.141,0.61,2.563,30.09,97.515,-7.833,-23.137,3
5758,0.44,-0.016,0.683,-3.235,-65.796,-7.751,-5.339,-32.503,73.471,3
5854,0.722,-0.099,0.799,-0.854,-31.433,-1.709,-5.718,-37.106,74.015,3
5931,0.285,0.952,-0.122,1.465,3.296,41.626,97.828,-15.848,-24.824,3
5964,0.646,-0.1,0.715,-3.174,-40.833,-3.784,-6.048,-40.897,74.377,3
6021,0.357,0.915,-0.129,1.953,3.418,44.861,98.058,-20.396,-25.598,3
6047,0.798,-0.119,0.761,-2.869,-46.936,-4.639,-6.504,-45.643,74.91,3
6126,0.361,0.958,-0.14,1.831,3.723,42.664,98.3,-24.516,-26.208,3
6169,0.868,-0.096,0.686,-3.662,-48.401,-5.737,-6.949,-49.543,75.432,3
6231,0.493,0.855,-0.134,1.099,3.784,42.725,98.575,-28.79,-26.785,3
6274,0.83,-0.097,0.623,-3.967,-40.222,-4.578,-7.493,-53.833,75.987,3
6363,0.867,-0.084,0.55,-3.601,-32.654,-3.54,-8.086,-57.651,76.525,3
6426,0.613,0.788,-0.128,1.038,3.113,35.095,99.185,-36.568,-27.51,3
6469,0.904,-0.08,0.495,-2.38,-30.09,-3.235,-8.723,-61.122,77.025,3
6515,0.651,0.727,-0.132,0.854,3.174,38.696,99.525,-40.128,-27.669,3
6574,0.976,-0.074,0.45,-2.625,-35.034,-4.272,-9.41,-64.847,77.487,3
6621,0.721,0.689,-0.126,0.916,3.296,38.33,99.954,-44.083,-27.74,3
6694,0.97,-0.081,0.396,-2.869,-32.104,-4.395,-10.316,-68.61,78.096,3
6726,0.74,0.689,-0.124,1.16,3.418,35.034,100.437,-47.741,-27.647,3
6768,0.983,-0.053,0.31,-2.747,-29.602,-3.235,-11.393,-71.845,78.843,3
6873,0.973,-0.048,0.206,-3.418,-36.865,-3.723,-13.002,-75.196,80.09,3
6920,0.832,0.544,-0.113,1.526,3.418,42.419,101.75,-55.322,-27.411,3
6962,1.028,-0.079,0.21,-3.479,-38.086,-2.991,-16.122,-79.398,82.672,3
7010,0.86,0.537,-0.122,1.709,3.906,41.748,102.684,-59.337,-27.296,3
