microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
9416,-0.651,-0.725,-0.041,3.784,1.648,-25.269,-95.795,41.935,-58.716,3
9488,-0.66,0.063,0.722,3.296,-26.245,-2.808,5.037,42.891,-11.64,3
9506,-0.608,-0.775,-0.073,4.883,5.066,-27.405,-95.433,39.227,-59.941,3
9595,-0.626,0.008,0.729,1.648,-27.405,0.977,4.73,39.996,-12.81,3
9610,-0.579,-0.792,-0.086,3.479,-0.244,-30.579,-95.279,36.931,-61.205,3
9684,-0.591,0.04,0.802,-1.587,-32.227,4.395,4.62,36.755,-13.403,3
9701,-0.53,-0.808,-0.064,1.587,-2.136,-27.405,-94.861,33.953,-61.798,3
9790,-0.519,0.085,0.829,-1.648,-27.588,3.479,4.653,33.816,-13.629,3
9836,-0.507,-0.839,-0.059,1.77,-0.793,-26.123,-94.504,31.454,-62.325,3
9893,-0.481,0.07,0.842,-0.732,-29.48,3.54,4.691,31.014,-14.052,3
9898,-0.47,-0.863,-0.066,1.77,-0.671,-27.283,-94.125,28.79,-62.974,3
10000,-0.423,-0.888,-0.056,1.282,-0.183,-27.161,-93.801,25.955,-63.627,3
10013,-0.428,0.09,0.902,-0.916,-32.959,3.418,4.697,27.938,-14.442,3
10091,-0.373,0.095,0.935,0,-32.227,0.61,4.713,24.928,-14.936,3
10105,-0.38,-0.91,-0.05,2.014,2.075,-26.367,-93.488,23.203,-64.429,3
10193,-0.353,0.08,0.932,-1.16,-24.048,0.427,4.631,22.275,-15.568,3
10201,-0.386,-0.917,-0.05,0.549,-1.16,-9.521,-93.285,21.121,-65.275,3
10301,-0.325,-0.934,-0.051,1.953,0.427,-24.719,-93.071,18.864,-66.028,3
10313,-0.313,0.077,0.943,-0.305,-25.879,2.197,4.543,19.742,-16.106,3
10392,-0.285,-0.959,-0.035,3.052,2.014,-25.696,-92.845,16.232,-66.786,3
10404,-0.265,0.104,0.981,0.793,-26.794,0.183,4.543,16.902,-16.578,3
10508,-0.235,0.103,0.992,0.122,-23.438,-2.197,4.636,14.288,-17.232,3
10513,-0.251,-0.986,-0.025,2.686,4.211,-23.682,-92.505,13.766,-67.687,3
10600,-0.195,0.074,1.004,-1.953,-26.123,-3.845,4.482,11.695,-18.133,3
10603,-0.215,-1.002,-0.041,0.671,5.798,-24.048,-92.362,11.695,-68.659,3
10694,-0.172,-1.006,-0.044,2.197,4.272,-20.447,-92.192,9.651,-69.692,3
10703,-0.146,0.043,1.01,1.404,-21.24,-1.038,4.389,9.267,-18.973,3
10800,-0.131,-0.991,-0.037,-0.916,-1.831,-21.362,-92.043,7.778,-70.313,3
10808,-0.112,0.066,1.028,-1.465,-21.729,4.7,4.23,6.927,-19.391,3
10886,-0.082,-0.978,-0.012,1.404,0.366,-22.095,-91.895,5.554,-70.708,3
10914,-0.049,0.114,0.975,-0.122,-26.855,-0.122,4.246,4.592,-19.556,3
10991,-0.052,-1.003,-0.021,1.038,4.15,-24.475,-91.653,3.362,-71.422,3
11003,-0.011,0.044,1.018,1.099,-24.597,-1.709,4.274,1.626,-20.237,3
11096,-0.007,-0.998,-0.036,1.709,0.244,-26.184,-91.544,1,-72.081,3
11110,0.052,0.031,1.062,1.587,-28.992,3.662,4.098,-1.258,-20.671,3
11203,0.009,-1,-0.009,2.625,-6.714,-23.376,-91.34,-1.154,-72.147,3
11243,0.095,0.131,0.972,0.305,-24.719,5.432,4.076,-3.68,-20.424,3
11291,0.066,-0.978,-0.003,1.587,-1.404,-22.4,-91.192,-3.351,-72.235,3
11319,0.111,0.1,1.06,-1.465,-26.611,-0.183,4.098,-6.658,-20.599,3
11382,0.12,-1.004,-0.033,5.615,1.282,-20.02,-90.917,-5.735,-73.037,3
11409,0.176,0.049,1.009,1.892,-18.25,1.648,4.246,-8.888,-21,3
